payment_id,person_id,car_plate,amount_paid,payment_time
1,1,CAR101,200.00,"2024-06-01 11:05:00"
2,2,CAR102,300.00,"2024-06-01 13:05:00"
3,3,CAR103,100.00,"2024-06-01 10:35:00"
4,4,CAR104,300.00,"2024-06-01 14:10:00"
5,5,CAR105,400.00,"2024-06-01 12:05:00"
6,6,CAR106,100.00,"2024-06-01 10:05:00"
7,7,CAR107,200.00,"2024-06-01 11:20:00"
8,8,CAR108,200.00,"2024-06-01 12:10:00"
9,9,CAR109,100.00,"2024-06-01 09:35:00"
10,10,CAR110,200.00,"2024-06-01 11:10:00"
11,11,CAR111,200.00,"2024-06-01 12:05:00"
12,12,CAR112,200.00,"2024-06-01 10:10:00"
13,13,CAR113,400.00,"2024-06-01 11:15:00"
14,14,CAR114,100.00,"2024-06-01 10:10:00"
15,15,CAR115,200.00,"2024-06-01 12:05:00"
16,16,CAR116,100.00,"2024-06-01 09:10:00"
17,17,CAR117,200.00,"2024-06-01 11:10:00"
18,18,CAR118,100.00,"2024-06-01 10:05:00"
19,19,CAR119,200.00,"2024-06-01 10:10:00"
20,20,CAR999,200.00,"2024-06-01 13:05:00"
